satisfez_restricoes,latencia,qualidade_nutricional
1,0.0250246524810791,0.1318222222222222222222222222
0,0.030774831771850586,0.04383333333333333333333333333
0,0.02861928939819336,0.3286944444444444444444444444
0,0.034162282943725586,0.7295833333333333333333333333
0,0.03249335289001465,1
0,0.028414011001586914,0.9380625
0,0.02846693992614746,1
0,0.032630205154418945,1
0,0.02752828598022461,0.601574074074074074074074074
0,0.028795480728149414,0.4834537037037037037037037037
1,0.028922557830810547,1
1,0.027895450592041016,0
1,0.02768683433532715,0
1,0.02912282943725586,0
1,0.030227184295654297,0
1,0.029633045196533203,0
1,0.029535531997680664,0
1,0.02979731559753418,0
1,0.03300619125366211,1.055800000000000000000000000
1,0.029425382614135742,0.7237444444444444444444444443
1,0.029066085815429688,0.7673166666666666666666666667
1,0.030185937881469727,0.649804166666666666666666667
1,0.03170156478881836,0.2468888888888888888888888889
